No.,論理カラム名,物理カラム名,KEY,table,NN,UNSIGNED,データ型(サイズ),初期値,補足,検索対象,最小値,最大値,,文字種,型,変数名
1,汎用マスタID,common_id,PK,,〇,,VARCHAR,,ID体系:com0001～com9999,〇,7,7,,半角英数字,String,commonId
2,汎用マスタグループ,common_group,,,〇,,VARCHAR,,,〇,1,100,,半角英数字,String,commonGroup
3,汎用マスタ名,common_name,,,〇,,VARCHAR,,,,1,200,,半角 / 全角,String,commonName
4,汎用マスタ値,common_value1,,,,,VARCHAR,,,,1,200,,半角 / 全角,String,commonValue1
5,汎用マスタ値,common_value2,,,,,VARCHAR,,,,1,200,,半角 / 全角,String,commonValue2
6,更新日時,update_datetime,,,〇,,TIMESTAMP,CURRENT_TIMESTAMP,"レコードが更新された日時を格納
YYYY-MM-DD hh:mm:ss",,,,,日付,Date,updateDatetime
7,バージョン,version,,,〇,〇,SMALLINT,0,,,,,,半角数字,Short,version
