No.,論理カラム名,物理カラム名,KEY,table,NN,UNSIGNED,データ型(サイズ),初期値,補足,検索対象,最小値,最大値,,文字種,型,変数名
1,料理食材ID,cook_food_id,PK,,〇,,VARCHAR,,ID体系:cf0000000001～cf9999999999,〇,12,12,,半角英数字,String,cookFoodId
2,料理ID,cook_id,FK,cook_mst,〇,,VARCHAR,,ID体系:cook00000001～cook99999999,〇,12,12,,半角英数字,String,cookId
3,食材ID,food_id,FK,food_mst,〇,,VARCHAR,,ID体系:food00000001～food99999999,〇,12,12,,半角英数字,String,foodId
4,単位値,unit_value,,,〇,〇,BIGINT,0,その他の場合、1～5を指定,〇,,,,半角数字,Long,unitValue
5,ユーザID,user_id,FK,cook_user_mst,〇,,VARCHAR,,ID体系:user00000001~user99999999,〇,12,12,,半角英数字,String,userId
6,更新日時,update_datetime,,,〇,,TIMESTAMP,CURRENT_TIMESTAMP,"レコードが更新された日時を格納
YYYY-MM-DD hh:mm:ss",,,,,日付,Date,updateDatetime
7,バージョン,version,,,〇,〇,SMALLINT,0,,,,,,半角数字,Short,version
